DATA_DADES;HOMES;SECCIO_CENSAL;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS
30/03/15;899;02140;1021;180;191;1103;446;1640;92;188
30/03/15;576;02141;702;133;113;777;255;1019;65;194
30/03/15;946;02142;1072;194;181;1235;408;1596;116;306
30/03/15;619;02143;644;131;103;759;270;1015;91;157
30/03/15;671;02144;793;149;146;860;309;1181;115;168
30/03/15;625;02145;657;135;127;783;237;1000;72;210
30/03/15;534;02146;616;101;108;667;274;951;56;143
30/03/15;1003;02147;1194;242;196;1322;437;1774;136;287
30/03/15;724;02148;832;149;117;936;354;1292;108;156
30/03/15;852;02149;959;213;150;1104;344;1419;124;268
30/03/15;687;02150;782;156;156;839;318;1148;97;224
30/03/15;683;02151;758;144;125;886;286;1139;107;195
30/03/15;554;02152;685;105;82;681;371;1095;56;88
30/03/15;595;02153;741;137;102;700;397;1148;52;136
30/03/15;483;02154;548;79;92;641;219;732;77;222
30/03/15;871;02155;1035;217;146;1060;483;1561;114;231
30/03/15;608;02156;671;110;97;693;379;1090;50;139
30/03/15;570;02157;638;150;85;659;314;961;68;179
30/03/15;765;02158;833;150;106;887;455;1361;99;138
30/03/15;871;02159;964;203;152;1109;371;1473;134;228
30/03/15;921;02160;1051;197;166;1166;443;1644;113;215
30/03/15;544;02161;608;137;92;677;246;945;90;117
30/03/15;649;02162;719;133;122;773;340;1108;66;194
30/03/15;862;02163;954;170;155;1083;408;1490;135;191
30/03/15;656;02164;739;139;102;874;280;1047;155;193
30/03/15;762;02165;852;163;101;970;380;1292;104;218
30/03/15;995;02166;1124;228;162;1321;408;1634;154;331
30/03/15;992;02167;1086;240;156;1154;528;1765;109;204
30/03/15;1054;02168;1174;230;174;1371;453;1723;168;337
30/03/15;754;02169;822;173;120;959;324;1271;97;208
30/03/15;787;02170;810;167;126;954;350;1328;81;188
30/03/15;765;02171;861;164;133;910;419;1256;81;289
30/03/15;791;02172;804;168;134;984;309;1217;128;250
30/03/15;742;02173;827;166;128;938;337;1280;88;201
30/03/15;775;03001;881;173;138;950;395;1340;69;247
30/03/15;982;03002;1051;219;151;1276;387;1464;166;403
30/03/15;830;03003;889;222;132;1089;276;1128;157;434
30/03/15;742;03004;817;180;108;958;313;1238;96;225
30/03/15;594;03005;649;131;82;721;309;952;67;224
30/03/15;683;03006;687;151;122;872;225;991;120;259
30/03/15;838;03007;885;221;164;1027;311;1286;109;328
30/03/15;599;03008;642;129;98;791;223;858;87;296
